Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position,Pets,TV,Piercings
First Year,8,4,8,Right-handed,On your back,None,None,2
First Year,7,5,8,Right-handed,On your back,None,None,2
First Year,5,6,8,Right-handed,On your back,None,None,2
First Year,8,1,6,Right-handed,On your left side,None,None,2
Fourth Year,5,6,6,Right-handed,On your left side,None,None,2
First Year,6,10,7,Right-handed,On your left side,None,None,2
Third Year,1,3,10,Right-handed,On your left side,None,None,2
First Year,8,15,8,Left-handed,On your right side,None,None,2
Second Year,2,0,6,Right-handed,On your right side,None,None,2
Second Year,6,5,7,Right-handed,On your right side,None,None,2
Third Year,7,5,7,Right-handed,On your right side,None,None,2
First Year,6,8,7,Right-handed,On your right side,None,None,2
First Year,6,5,7.5,Right-handed,On your right side,None,None,2
First Year,8,4,8,Right-handed,On your right side,None,None,2
Third Year,5,5,8,Right-handed,On your right side,None,None,2
Second Year,6,5,8,Right-handed,On your right side,None,None,2
Fourth Year,3,2,7,Left-handed,On your stomach,None,None,2
Graduate Student,4,2,5,Right-handed,On your stomach,None,None,2
Second Year,8,10,7,Right-handed,On your stomach,None,None,2
First Year,7,6,7,Right-handed,On your back,None,Office,2
First Year,7,6,7,Left-handed,On your left side,None,One Piece,2
First Year,7,5,6.5,Right-handed,On your left side,None,One Piece,2
First Year,3,15,6,Right-handed,On your left side,None,"One Piece, Gilmore Girls",2
First Year,9,10,7,Right-handed,On your left side,None,Peaky Blinders,2
Second Year,7,7,6,Right-handed,On your stomach,None,"Steven Universe, Modern Family",2
First Year,7,4,8,Right-handed,On your right side,None,"Succession, Gilmore Girls",2
First Year,7,12,8,Left-handed,On your left side,None,Suits,2
Second Year,7,7,8,Left-handed,On your back,None,"Ted Lasso, Gilmore Girls",2
Fourth Year,4,5,6,Left-handed,On your back,None,The Bear,2
First Year,7,5,8,Right-handed,On your left side,None,The Bear,2
First Year,3,15,8,Right-handed,On your right side,None,The Bear,2
First Year,3,15,7,Right-handed,On your left side,None,The Last of Us,2
Fourth Year,3,2,6,Right-handed,On your right side,None,The Last of Us,2
First Year,7,7,8,Right-handed,On your stomach,None,The Last of Us,2
First Year,5,4,7,Right-handed,On your right side,None,"The Last of Us, Black Mirror",2
Third Year,3,4,8,Right-handed,On your left side,None,"The Last of Us, One Piece, Gilmore Girls",2
Third Year,9,10,7,Right-handed,On your left side,None,"The Last of Us, Succession, Black Mirror, Ted Lasso",2
Second Year,4,10,8,Right-handed,On your left side,None,"The Last of Us, Succession, Black Mirror, The Mandalorian, The Bear",2
Third Year,5,10,7,Right-handed,On your right side,None,"The Last of Us, Ted Lasso",2
First Year,7,5,7,Right-handed,On your back,None,The Mandalorian,2
First Year,4,4,7,Right-handed,On your left side,None,The Mandalorian,2
First Year,4,15,6,Right-handed,On your right side,None,The Mandalorian,2
First Year,8,20,7,Right-handed,On your right side,None,The Mandalorian,2
First Year,4,7,8,Right-handed,On your right side,None,The Mandalorian,2
First Year,4,7,7,Right-handed,On your stomach,None,The Mandalorian,2
Second Year,2,2,8,Right-handed,On your stomach,None,The Mandalorian,2
First Year,5,6,7,Right-handed,On your left side,None,Ugly Betty,2
Third Year,1,1,7,Right-handed,On your back,None,Black Mirror,3
Second Year,5,10,8,Right-handed,On your right side,None,Black Mirror,3
First Year,4,5,6,Right-handed,On your stomach,None,Black Mirror,3
Fourth Year,7,2,7,Right-handed,On your back,None,Gilmore Girls,3
Second Year,6,3,8,Right-handed,On your left side,None,Gilmore Girls,3
Third Year,3,3,6,Right-handed,On your right side,None,Gilmore Girls,3
First Year,2,3,7.5,Right-handed,On your right side,None,Gilmore Girls,3
Fourth Year,4,3,8,Right-handed,On your back,None,gossip girl,3
First Year,4,5,9,Right-handed,On your back,None,None,3
Third Year,3,1,7,Right-handed,On your right side,None,None,3
First Year,7,6,7,Left-handed,On your stomach,None,None,3
Second Year,8,4,6,Right-handed,On your right side,None,"None, The Walking Dead",3
Third Year,7,15,7,Right-handed,On your right side,None,One Piece,3
Second Year,2,6,7.5,Right-handed,On your back,None,The Bear,3
First Year,8,6,6,Right-handed,On your back,None,The Good Doctor,3
Third Year,7,3,7,Right-handed,On your back,None,The Last of Us,3
First Year,6,12,8,Right-handed,On your right side,None,"The Last of Us, The Bear",3
First Year,7,4,6,Right-handed,On your back,None,The Mandalorian,3
Second Year,8,7,7,Right-handed,On your back,None,Ahsoka,4
Second Year,7,10,7,Right-handed,On your left side,None,Arcane,4
Third Year,7,8,8,Right-handed,On your left side,None,Black Mirror,4
Third Year,5,4,10,Right-handed,On your left side,None,Black Mirror,4
Third Year,6,5,7,Right-handed,On your right side,None,Black Mirror,4
Second Year,7,8,7,Right-handed,On your stomach,None,Black Mirror,4
First Year,8,12,7,Right-handed,On your right side,None,"Black Mirror, Gilmore Girls",4
Third Year,7,2,8,Right-handed,On your right side,None,Community,4
First Year,5,0,7,Right-handed,On your left side,None,Gilmore Girls,4
First Year,8,3,7,Right-handed,On your left side,None,Gilmore Girls,4
First Year,7,9,7,Right-handed,On your left side,None,Gilmore Girls,4
Second Year,5,2,8,Right-handed,On your left side,None,Gilmore Girls,4
Second Year,6,4,7,Right-handed,On your right side,None,Gilmore Girls,4
First Year,7,8,8,Right-handed,On your right side,None,Gilmore Girls,4
First Year,5,10,9,Right-handed,On your right side,None,"Gilmore Girls, One Tree Hill",4
Second Year,8,10,7,Left-handed,On your left side,None,Jane the Virgin,4
Third Year,6,5,7,Right-handed,On your left side,None,New Girl,4
Third Year,3,1,6,Right-handed,On your back,None,None,4
First Year,5,6,7,Right-handed,On your back,None,None,4
First Year,7,20,7,Right-handed,On your back,None,None,4
First Year,1,0,4,Right-handed,On your left side,None,None,4
First Year,8,12,5,Right-handed,On your left side,None,None,4
Second Year,9,9,7,Right-handed,On your left side,None,None,4
First Year,5,3,6,Right-handed,On your right side,None,None,4
First Year,4,4,7,Right-handed,On your right side,None,None,4
Second Year,7,4,7,Right-handed,On your right side,None,None,4
Second Year,7,1,5,Right-handed,On your stomach,None,None,4
Second Year,5,10,5,Right-handed,On your stomach,None,None,4
Second Year,9,8,8,Right-handed,On your back,None,The Bear,4
Third Year,4,4,8,both,On your left side,None,"The Bear, Seven Deadly Sins",4
Second Year,5,4,8,Right-handed,On your back,None,The Last of Us,4
Third Year,3,4,7,Right-handed,On your right side,None,Black Mirror,5
First Year,7,8,8.5,Right-handed,On your back,None,Gilmore Girls,5
First Year,4,6,6,Left-handed,On your left side,None,Gilmore Girls,5
First Year,8,10,6,Right-handed,On your right side,None,Gilmore Girls,5
First Year,7,9,7,Right-handed,On your left side,None,One Piece,5
Second Year,7,15,6,Right-handed,On your back,None,Succession,5
Third Year,6,4,7,Right-handed,On your right side,None,"Succession, Black Mirror, The Bear",5
First Year,2,5,7,Right-handed,On your right side,None,The Bear,5
First Year,7,15,7,Right-handed,On your right side,None,"Black Mirror, The Office",6
Second Year,10,5,6,Right-handed,On your stomach,None,greys anatomy,6
First Year,8,6,6,Right-handed,On your left side,None,None,6
Third Year,7,4,7,Right-handed,On your left side,None,None,6
Second Year,8,6,7,Right-handed,On your left side,None,None,6
Third Year,8,5,8,Right-handed,On your right side,None,None,6
Fourth Year,7,30,8,Right-handed,On your right side,None,Succession,6
Second Year,6,5,8,Right-handed,On your back,None,"Succession, Gilmore Girls",6
First Year,7,7,8,Right-handed,On your left side,None,Suits,6
First Year,5,4,8,Left-handed,On your right side,None,Ted Lasso,6
First Year,8,8,6,Right-handed,On your back,None,The Bear,6
First Year,10,7,7,Right-handed,On your right side,None,The Fall of the House of Usher,6
Third Year,3,5,6,Right-handed,On your back,None,"The Last of Us, Black Mirror, One Piece",6
Second Year,9,5,7,Right-handed,On your right side,None,game of thrones,7
Second Year,7,10,7,Right-handed,On your back,None,Gilmore Girls,7
Third Year,8,20,8,Right-handed,On your back,None,Gilmore Girls,7
Third Year,3,3,6,Right-handed,On your left side,None,None,7
First Year,4,2,5,Right-handed,On your left side,None,Black Mirror,8
Second Year,8,5,7,Right-handed,On your left side,None,Black Mirror,8
Second Year,9,10,8,Right-handed,On your right side,None,Black Mirror,8
Second Year,5,5,7,Right-handed,On your stomach,None,Black Mirror,8
First Year,8,7,7,Right-handed,On your right side,None,Gilmore Girls,8
Second Year,6,3,4,Right-handed,On your stomach,None,Gilmore Girls,8
First Year,6,8,7,Right-handed,On your back,None,None,8
Second Year,3,7,7,Right-handed,On your right side,None,"The Last of Us, Succession, Gossip Girl, Parks and Rec, Fellow Travelers, Made in Heaven",8
Second Year,8,15,6,Right-handed,On your back,None,Gilmore Girls,9
Second Year,7,7,6,Right-handed,On your left side,None,None,9
First Year,6,2,7,Right-handed,On your right side,None,"The Bear, Gilmore Girls",9
First Year,4,3,6,Right-handed,On your right side,None,Gilmore Girls,10
Fourth Year,8,19,8,Right-handed,On your left side,None,"Black Mirror, Gilmore Girls",11
Third Year,9,10,7,Right-handed,On your stomach,None,Gilmore Girls,13
First Year,4,5,7,Right-handed,On your left side,None,Black Mirror,16
First Year,7,5,7,Left-handed,On your left side,"None, ",None,0
Third Year,5,4,6,Right-handed,On your stomach,"None, ",Gilmore Girls,4
First Year,7,7,7,Right-handed,On your stomach,"None, ",None,4
First Year,2,2,8,Right-handed,On your back,Orca,Castaway Diva,0
Fourth Year,10,15,8,Right-handed,On your back,plants,"Black Mirror, The Mandalorian, Gilmore Girls",2
First Year,6,15,5,Left-handed,On your back,Rabbit,Black Mirror,0
First Year,6,1,5,Right-handed,On your left side,Rabbit,One Piece,0
Third Year,6,4,8,Right-handed,On your right side,Rabbit,One Piece,0
Second Year,8,20,8,Right-handed,On your right side,Rabbit,One Piece,0
First Year,6,10,7,ambidextrous,On your right side,Rabbit,Avatar the Last Airbender,2
Third Year,4,7,7,Right-handed,On your right side,Rabbit,Over the Garden Wall,6
Third Year,4,6,7,Right-handed,On your back,Snake,The Mandalorian,0
Third Year,7,5,8,Right-handed,On your right side,Snake,None,1
First Year,3,2,7,Right-handed,On your right side,"Snake, Lizard",None,2
First Year,5,6,8,Right-handed,On your left side,Turtle,Black Mirror,0
Second Year,3,2,7,Right-handed,On your stomach,Turtle,None,0
Second Year,3,5,8,Right-handed,On your stomach,Turtle,The Bear,0
First Year,6,5,6,Right-handed,On your left side,Turtle,"The Last of Us, Black Mirror, One Piece",0
First Year,3,5,7,Right-handed,On your right side,Turtle,"Black Mirror, One Piece",2
First Year,5,3,7,Right-handed,On your stomach,Turtle,Gilmore Girls,2
Second Year,7,10,8,Right-handed,On your right side,Turtle,None,2
First Year,6,7,6,Right-handed,On your right side,Turtle,Avatar The Last Airbender or The 100 or Game of Thrones,5
First Year,9,6,8,Right-handed,On your stomach,Turtle,Gilmore Girls,5
Third Year,3,2,3,Left-handed,On your left side,Turtle,The Mandalorian,123
